gpu num: 8
prefix ./models/r50-arcface-retina/model
image_size [112, 112]
num_classes 93431
Called with argument: Namespace(batch_size=512, ckpt=3, ctx_num=8, ctx_num_classes=11679, dataset='retina', extra_model_name='', frequent=20, image_channel=3, kvstore='device', local_class_start=0, local_num_classes=93432, loss='arcface', lr=0.1, lr_steps='100000,160000,220000', models_root='./models', mom=0.9, network='r50', per_batch_size=64, pretrained='', pretrained_epoch=1, rescale_threshold=0, verbose=2000, wd=0.0005, worker_id=0) {'bn_mom': 0.9, 'workspace': 256, 'emb_size': 512, 'ckpt_embedding': True, 'net_se': 0, 'net_act': 'prelu', 'net_unit': 3, 'net_input': 1, 'net_blocks': [1, 4, 6, 2], 'net_output': 'E', 'net_multiplier': 1.0, 'val_targets': ['lfw', 'cfp_fp', 'agedb_30'], 'ce_loss': True, 'fc7_lr_mult': 1.0, 'fc7_wd_mult': 1.0, 'fc7_no_bias': False, 'max_steps': 0, 'data_rand_mirror': True, 'data_cutoff': False, 'data_color': 0, 'data_images_filter': 0, 'count_flops': True, 'memonger': False, 'loss_name': 'margin_softmax', 'loss_s': 64.0, 'loss_m1': 1.0, 'loss_m2': 0.5, 'loss_m3': 0.0, 'net_name': 'fresnet', 'num_layers': 50, 'dataset': 'retina', 'dataset_path': '../datasets/ms1m-retinaface', 'num_classes': 93431, 'image_shape': [112, 112, 3], 'loss': 'arcface', 'network': 'r50', 'num_workers': 1, 'batch_size': 512, 'per_batch_size': 64}
0 1 E 3 prelu False
Network FLOPs: 12.6G
INFO:root:loading recordio ../datasets/ms1m-retinaface/train.rec...
header0 label [5179511. 5272942.]
id2range 93431
5179510
rand_mirror True
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
(12000, 3, 112, 112)
ver lfw
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
loading bin 12000
loading bin 13000
(14000, 3, 112, 112)
ver cfp_fp
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
(12000, 3, 112, 112)
ver agedb_30
lr_steps [100000, 160000, 220000]
call reset()in_bind
 False [('data', (512, 3, 112, 112))] [('softmax_label', (512,))]
_data_shape (512, 3, 112, 112) [('softmax_label', (512,))]
[18:18:28] src/kvstore/././comm.h:744: only 0 out of 56 GPU pairs are enabled direct access. It may affect the performance. You can set MXNET_ENABLE_GPU_P2P=0 to turn it off
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:29] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Iter[0] Batch [20]	Speed: 523.28 samples/sec
INFO:root:Iter[0] Batch [1020]	Speed: 839.35 samples/sec
INFO:root:Iter[0] Batch [1040]	Speed: 869.68 samples/sec
INFO:root:Iter[0] Batch [1060]	Speed: 894.52 samples/sec
INFO:root:Iter[0] Batch [1080]	Speed: 882.15 samples/sec
INFO:root:Iter[0] Batch [1100]	Speed: 859.38 samples/sec
INFO:root:Iter[0] Batch [1120]	Speed: 879.91 samples/sec
INFO:root:Iter[0] Batch [1140]	Speed: 869.17 samples/sec
INFO:root:Iter[0] Batch [1160]	Speed: 863.11 samples/sec
INFO:root:Iter[0] Batch [1180]	Speed: 892.96 samples/sec
INFO:root:Iter[0] Batch [1200]	Speed: 868.86 samples/sec
INFO:root:Iter[0] Batch [1220]	Speed: 860.62 samples/sec
INFO:root:Iter[0] Batch [1240]	Speed: 872.63 samples/sec
INFO:root:Iter[0] Batch [1260]	Speed: 844.97 samples/sec
INFO:root:Iter[0] Batch [1280]	Speed: 860.58 samples/sec
INFO:root:Iter[0] Batch [1300]	Speed: 881.19 samples/sec
INFO:root:Iter[0] Batch [1320]	Speed: 871.60 samples/sec
INFO:root:Iter[0] Batch [1340]	Speed: 828.45 samples/sec
INFO:root:Iter[0] Batch [1360]	Speed: 833.46 samples/sec
INFO:root:Iter[0] Batch [1380]	Speed: 785.27 samples/sec
INFO:root:Iter[0] Batch [1400]	Speed: 857.63 samples/sec
INFO:root:Iter[0] Batch [1420]	Speed: 848.94 samples/sec
INFO:root:Iter[0] Batch [1440]	Speed: 837.79 samples/sec
INFO:root:Iter[0] Batch [1460]	Speed: 874.96 samples/sec
INFO:root:Iter[0] Batch [1480]	Speed: 855.00 samples/sec
INFO:root:Iter[0] Batch [1500]	Speed: 904.93 samples/sec
INFO:root:Iter[0] Batch [1520]	Speed: 798.95 samples/sec
INFO:root:Iter[0] Batch [1540]	Speed: 839.02 samples/sec
INFO:root:Iter[0] Batch [1560]	Speed: 809.20 samples/sec
INFO:root:Iter[0] Batch [1580]	Speed: 828.89 samples/sec
INFO:root:Iter[0] Batch [1600]	Speed: 860.12 samples/sec
INFO:root:Iter[0] Batch [1620]	Speed: 849.88 samples/sec
INFO:root:Iter[0] Batch [1640]	Speed: 846.80 samples/sec
INFO:root:Iter[0] Batch [1660]	Speed: 823.54 samples/sec
INFO:root:Iter[0] Batch [1680]	Speed: 847.37 samples/sec
INFO:root:Iter[0] Batch [1700]	Speed: 815.36 samples/sec
INFO:root:Iter[0] Batch [1720]	Speed: 857.51 samples/sec
INFO:root:Iter[0] Batch [1740]	Speed: 851.23 samples/sec
INFO:root:Iter[0] Batch [1760]	Speed: 858.02 samples/sec
INFO:root:Iter[0] Batch [1780]	Speed: 834.84 samples/sec
INFO:root:Iter[0] Batch [1800]	Speed: 825.96 samples/sec
INFO:root:Iter[0] Batch [1820]	Speed: 818.32 samples/sec
INFO:root:Iter[0] Batch [1840]	Speed: 781.39 samples/sec
INFO:root:Iter[0] Batch [1860]	Speed: 823.28 samples/sec
INFO:root:Iter[0] Batch [1880]	Speed: 872.23 samples/sec
INFO:root:Iter[0] Batch [1900]	Speed: 874.74 samples/sec
INFO:root:Iter[0] Batch [1920]	Speed: 830.17 samples/sec
INFO:root:Iter[0] Batch [1940]	Speed: 808.66 samples/sec
INFO:root:Iter[0] Batch [1960]	Speed: 873.38 samples/sec
INFO:root:Iter[0] Batch [1980]	Speed: 891.96 samples/sec
{fc7_acc} 2000 0.0
lr-batch-epoch: 0.1 1999 0
testing verification..
(12000, 512)
infer time 4.409407000000002
[lfw][2000]XNorm: 21.780299
[lfw][2000]Accuracy-Flip: 0.93867+-0.00945
testing verification..
(14000, 512)
infer time 4.746598999999999
[cfp_fp][2000]XNorm: 18.694772
[cfp_fp][2000]Accuracy-Flip: 0.74800+-0.01314
testing verification..
(12000, 512)
infer time 4.061450000000001
[agedb_30][2000]XNorm: 20.538235
[agedb_30][2000]Accuracy-Flip: 0.77350+-0.02001
saving 1
INFO:root:Saved checkpoint to "./models/r50-arcface-retina/model-0001.params"
[2000]Accuracy-Highest: 0.77350
INFO:root:Iter[0] Batch [2000]	Speed: 265.37 samples/sec
INFO:root:Iter[0] Batch [2020]	Speed: 855.82 samples/sec
INFO:root:Iter[0] Batch [2040]	Speed: 786.01 samples/sec
INFO:root:Iter[0] Batch [2060]	Speed: 842.24 samples/sec
INFO:root:Iter[0] Batch [2080]	Speed: 789.51 samples/sec
INFO:root:Iter[0] Batch [2100]	Speed: 815.07 samples/sec
INFO:root:Iter[0] Batch [2120]	Speed: 862.04 samples/sec
INFO:root:Iter[0] Batch [2140]	Speed: 857.85 samples/sec
INFO:root:Iter[0] Batch [2160]	Speed: 846.04 samples/sec
INFO:root:Iter[0] Batch [2180]	Speed: 849.94 samples/sec
INFO:root:Iter[0] Batch [2200]	Speed: 823.70 samples/sec
INFO:root:Iter[0] Batch [2220]	Speed: 824.38 samples/sec
INFO:root:Iter[0] Batch [2240]	Speed: 830.58 samples/sec
INFO:root:Iter[0] Batch [2260]	Speed: 804.89 samples/sec
INFO:root:Iter[0] Batch [2280]	Speed: 820.32 samples/sec
INFO:root:Iter[0] Batch [2300]	Speed: 772.17 samples/sec
INFO:root:Iter[0] Batch [2320]	Speed: 799.17 samples/sec
INFO:root:Iter[0] Batch [2340]	Speed: 818.70 samples/sec
INFO:root:Iter[0] Batch [2360]	Speed: 825.99 samples/sec
INFO:root:Iter[0] Batch [2380]	Speed: 828.68 samples/sec
INFO:root:Iter[0] Batch [2400]	Speed: 867.60 samples/sec
INFO:root:Iter[0] Batch [2420]	Speed: 845.18 samples/sec
INFO:root:Iter[0] Batch [2440]	Speed: 851.12 samples/sec
INFO:root:Iter[0] Batch [2460]	Speed: 812.59 samples/sec
INFO:root:Iter[0] Batch [2480]	Speed: 808.42 samples/sec
INFO:root:Iter[0] Batch [2500]	Speed: 822.66 samples/sec
INFO:root:Iter[0] Batch [2520]	Speed: 815.79 samples/sec
INFO:root:Iter[0] Batch [2540]	Speed: 842.76 samples/sec
INFO:root:Iter[0] Batch [2560]	Speed: 819.30 samples/sec
INFO:root:Iter[0] Batch [2580]	Speed: 853.13 samples/sec
INFO:root:Iter[0] Batch [2600]	Speed: 830.45 samples/sec
INFO:root:Iter[0] Batch [2620]	Speed: 825.92 samples/sec
INFO:root:Iter[0] Batch [2640]	Speed: 876.83 samples/sec
INFO:root:Iter[0] Batch [2660]	Speed: 858.70 samples/sec
INFO:root:Iter[0] Batch [2680]	Speed: 875.91 samples/sec
INFO:root:Iter[0] Batch [2700]	Speed: 833.97 samples/sec
INFO:root:Iter[0] Batch [2720]	Speed: 813.64 samples/sec
INFO:root:Iter[0] Batch [2740]	Speed: 868.87 samples/sec
INFO:root:Iter[0] Batch [2760]	Speed: 877.44 samples/sec
INFO:root:Iter[0] Batch [2780]	Speed: 838.55 samples/sec
INFO:root:Iter[0] Batch [2800]	Speed: 818.90 samples/sec
INFO:root:Iter[0] Batch [2820]	Speed: 855.54 samples/sec
INFO:root:Iter[0] Batch [2840]	Speed: 840.18 samples/sec
INFO:root:Iter[0] Batch [2860]	Speed: 819.69 samples/sec
INFO:root:Iter[0] Batch [2880]	Speed: 862.46 samples/sec
INFO:root:Iter[0] Batch [2900]	Speed: 794.83 samples/sec
INFO:root:Iter[0] Batch [2920]	Speed: 827.92 samples/sec
INFO:root:Iter[0] Batch [2940]	Speed: 838.17 samples/sec
INFO:root:Iter[0] Batch [2960]	Speed: 808.92 samples/sec
INFO:root:Iter[0] Batch [2980]	Speed: 863.63 samples/sec
lr-batch-epoch: 0.1 2999 0
INFO:root:Iter[0] Batch [3000]	Speed: 772.87 samples/sec
INFO:root:Iter[0] Batch [3020]	Speed: 792.52 samples/sec
INFO:root:Iter[0] Batch [3040]	Speed: 854.57 samples/sec
INFO:root:Iter[0] Batch [3060]	Speed: 812.75 samples/sec
INFO:root:Iter[0] Batch [3080]	Speed: 797.91 samples/sec
INFO:root:Iter[0] Batch [3100]	Speed: 819.28 samples/sec
INFO:root:Iter[0] Batch [3120]	Speed: 784.24 samples/sec
INFO:root:Iter[0] Batch [3140]	Speed: 830.93 samples/sec
INFO:root:Iter[0] Batch [3160]	Speed: 856.58 samples/sec
INFO:root:Iter[0] Batch [3180]	Speed: 829.02 samples/sec
INFO:root:Iter[0] Batch [3200]	Speed: 829.94 samples/sec
INFO:root:Iter[0] Batch [3220]	Speed: 807.88 samples/sec
INFO:root:Iter[0] Batch [3240]	Speed: 847.13 samples/sec
INFO:root:Iter[0] Batch [3260]	Speed: 829.74 samples/sec
INFO:root:Iter[0] Batch [3280]	Speed: 855.95 samples/sec
INFO:root:Iter[0] Batch [3300]	Speed: 818.44 samples/sec
INFO:root:Iter[0] Batch [3320]	Speed: 785.12 samples/sec
INFO:root:Iter[0] Batch [3340]	Speed: 824.03 samples/sec
INFO:root:Iter[0] Batch [3360]	Speed: 839.62 samples/sec
INFO:root:Iter[0] Batch [3380]	Speed: 823.64 samples/sec
INFO:root:Iter[0] Batch [3400]	Speed: 857.23 samples/sec
INFO:root:Iter[0] Batch [3420]	Speed: 837.44 samples/sec
INFO:root:Iter[0] Batch [3440]	Speed: 830.75 samples/sec
INFO:root:Iter[0] Batch [3460]	Speed: 853.00 samples/sec
INFO:root:Iter[0] Batch [3480]	Speed: 878.70 samples/sec
INFO:root:Iter[0] Batch [3500]	Speed: 837.45 samples/sec
INFO:root:Iter[0] Batch [3520]	Speed: 890.98 samples/sec
INFO:root:Iter[0] Batch [3540]	Speed: 860.72 samples/sec
INFO:root:Iter[0] Batch [3560]	Speed: 816.53 samples/sec
INFO:root:Iter[0] Batch [3580]	Speed: 854.86 samples/sec
INFO:root:Iter[0] Batch [3600]	Speed: 841.89 samples/sec
INFO:root:Iter[0] Batch [3620]	Speed: 898.81 samples/sec
INFO:root:Iter[0] Batch [3640]	Speed: 836.39 samples/sec
INFO:root:Iter[0] Batch [3660]	Speed: 852.06 samples/sec
INFO:root:Iter[0] Batch [3680]	Speed: 827.84 samples/sec
INFO:root:Iter[0] Batch [3700]	Speed: 857.28 samples/sec
INFO:root:Iter[0] Batch [3720]	Speed: 839.81 samples/sec
INFO:root:Iter[0] Batch [3740]	Speed: 828.47 samples/sec
INFO:root:Iter[0] Batch [3760]	Speed: 825.88 samples/sec
INFO:root:Iter[0] Batch [3780]	Speed: 859.95 samples/sec
INFO:root:Iter[0] Batch [3800]	Speed: 817.49 samples/sec
INFO:root:Iter[0] Batch [3820]	Speed: 836.29 samples/sec
INFO:root:Iter[0] Batch [3840]	Speed: 790.52 samples/sec
INFO:root:Iter[0] Batch [3860]	Speed: 830.29 samples/sec
INFO:root:Iter[0] Batch [3880]	Speed: 828.92 samples/sec
INFO:root:Iter[0] Batch [3900]	Speed: 878.71 samples/sec
INFO:root:Iter[0] Batch [3920]	Speed: 793.44 samples/sec
INFO:root:Iter[0] Batch [3940]	Speed: 846.14 samples/sec
INFO:root:Iter[0] Batch [3960]	Speed: 831.59 samples/sec
INFO:root:Iter[0] Batch [3980]	Speed: 789.65 samples/sec
{fc7_acc} 4000 0.013671875
lr-batch-epoch: 0.1 3999 0
testing verification..
(12000, 512)
infer time 4.053942000000001
[lfw][4000]XNorm: 23.800846
[lfw][4000]Accuracy-Flip: 0.97967+-0.00446
testing verification..
(14000, 512)
infer time 4.779448
[cfp_fp][4000]XNorm: 20.779606
[cfp_fp][4000]Accuracy-Flip: 0.87714+-0.01268
testing verification..
(12000, 512)
infer time 4.052049000000002
[agedb_30][4000]XNorm: 23.027685
[agedb_30][4000]Accuracy-Flip: 0.87617+-0.02197
saving 1
INFO:root:Saved checkpoint to "./models/r50-arcface-retina/model-0001.params"
[4000]Accuracy-Highest: 0.87617
INFO:root:Iter[0] Batch [4000]	Speed: 259.69 samples/sec
INFO:root:Iter[0] Batch [4020]	Speed: 745.99 samples/sec
INFO:root:Iter[0] Batch [4040]	Speed: 800.61 samples/sec
INFO:root:Iter[0] Batch [4060]	Speed: 826.08 samples/sec
INFO:root:Iter[0] Batch [4080]	Speed: 832.46 samples/sec
INFO:root:Iter[0] Batch [4100]	Speed: 830.25 samples/sec
INFO:root:Iter[0] Batch [4120]	Speed: 833.37 samples/sec
INFO:root:Iter[0] Batch [4140]	Speed: 829.63 samples/sec
INFO:root:Iter[0] Batch [4160]	Speed: 864.07 samples/sec
INFO:root:Iter[0] Batch [4180]	Speed: 793.88 samples/sec
INFO:root:Iter[0] Batch [4200]	Speed: 859.77 samples/sec
INFO:root:Iter[0] Batch [4220]	Speed: 849.39 samples/sec
INFO:root:Iter[0] Batch [4240]	Speed: 847.61 samples/sec
INFO:root:Iter[0] Batch [4260]	Speed: 826.79 samples/sec
INFO:root:Iter[0] Batch [4280]	Speed: 862.77 samples/sec
INFO:root:Iter[0] Batch [4300]	Speed: 803.00 samples/sec
INFO:root:Iter[0] Batch [4320]	Speed: 805.35 samples/sec
INFO:root:Iter[0] Batch [4340]	Speed: 829.60 samples/sec
INFO:root:Iter[0] Batch [4360]	Speed: 758.48 samples/sec
INFO:root:Iter[0] Batch [4380]	Speed: 833.06 samples/sec
INFO:root:Iter[0] Batch [4400]	Speed: 805.74 samples/sec
INFO:root:Iter[0] Batch [4420]	Speed: 797.65 samples/sec
INFO:root:Iter[0] Batch [4440]	Speed: 836.64 samples/sec
INFO:root:Iter[0] Batch [4460]	Speed: 813.26 samples/sec
INFO:root:Iter[0] Batch [4480]	Speed: 804.51 samples/sec
INFO:root:Iter[0] Batch [4500]	Speed: 792.34 samples/sec
INFO:root:Iter[0] Batch [4520]	Speed: 814.12 samples/sec
INFO:root:Iter[0] Batch [4540]	Speed: 834.15 samples/sec
INFO:root:Iter[0] Batch [4560]	Speed: 798.45 samples/sec
INFO:root:Iter[0] Batch [4580]	Speed: 849.61 samples/sec
INFO:root:Iter[0] Batch [4600]	Speed: 810.54 samples/sec
INFO:root:Iter[0] Batch [4620]	Speed: 820.18 samples/sec
INFO:root:Iter[0] Batch [4640]	Speed: 784.97 samples/sec
INFO:root:Iter[0] Batch [4660]	Speed: 825.13 samples/sec
INFO:root:Iter[0] Batch [4680]	Speed: 832.55 samples/sec
INFO:root:Iter[0] Batch [4700]	Speed: 848.43 samples/sec
INFO:root:Iter[0] Batch [4720]	Speed: 833.57 samples/sec
INFO:root:Iter[0] Batch [4740]	Speed: 826.76 samples/sec
INFO:root:Iter[0] Batch [4760]	Speed: 826.82 samples/sec
INFO:root:Iter[0] Batch [4780]	Speed: 827.12 samples/sec
INFO:root:Iter[0] Batch [4800]	Speed: 860.81 samples/sec
INFO:root:Iter[0] Batch [4820]	Speed: 801.52 samples/sec
INFO:root:Iter[0] Batch [4840]	Speed: 859.06 samples/sec
INFO:root:Iter[0] Batch [4860]	Speed: 839.76 samples/sec
INFO:root:Iter[0] Batch [4880]	Speed: 799.13 samples/sec
INFO:root:Iter[0] Batch [4900]	Speed: 811.66 samples/sec
INFO:root:Iter[0] Batch [4920]	Speed: 764.35 samples/sec
INFO:root:Iter[0] Batch [4940]	Speed: 804.55 samples/sec
INFO:root:Iter[0] Batch [4960]	Speed: 831.85 samples/sec
INFO:root:Iter[0] Batch [4980]	Speed: 810.18 samples/sec
lr-batch-epoch: 0.1 4999 0
INFO:root:Iter[0] Batch [5000]	Speed: 841.70 samples/sec
INFO:root:Iter[0] Batch [5020]	Speed: 847.02 samples/sec
INFO:root:Iter[0] Batch [5040]	Speed: 823.83 samples/sec
INFO:root:Iter[0] Batch [5060]	Speed: 825.10 samples/sec
INFO:root:Iter[0] Batch [5080]	Speed: 836.00 samples/sec
INFO:root:Iter[0] Batch [5100]	Speed: 816.46 samples/sec
INFO:root:Iter[0] Batch [5120]	Speed: 833.13 samples/sec
INFO:root:Iter[0] Batch [5140]	Speed: 882.42 samples/sec
INFO:root:Iter[0] Batch [5160]	Speed: 843.11 samples/sec
INFO:root:Iter[0] Batch [5180]	Speed: 822.57 samples/sec
INFO:root:Iter[0] Batch [5200]	Speed: 865.73 samples/sec
INFO:root:Iter[0] Batch [5220]	Speed: 848.71 samples/sec
INFO:root:Iter[0] Batch [5240]	Speed: 828.56 samples/sec
INFO:root:Iter[0] Batch [5260]	Speed: 835.96 samples/sec
INFO:root:Iter[0] Batch [5280]	Speed: 842.77 samples/sec
INFO:root:Iter[0] Batch [5300]	Speed: 819.67 samples/sec
INFO:root:Iter[0] Batch [5320]	Speed: 871.83 samples/sec
INFO:root:Iter[0] Batch [5340]	Speed: 823.42 samples/sec
INFO:root:Iter[0] Batch [5360]	Speed: 834.71 samples/sec
INFO:root:Iter[0] Batch [5380]	Speed: 842.69 samples/sec
INFO:root:Iter[0] Batch [5400]	Speed: 824.26 samples/sec
INFO:root:Iter[0] Batch [5420]	Speed: 773.75 samples/sec
INFO:root:Iter[0] Batch [5440]	Speed: 847.99 samples/sec
INFO:root:Iter[0] Batch [5460]	Speed: 848.19 samples/sec
INFO:root:Iter[0] Batch [5480]	Speed: 831.61 samples/sec
INFO:root:Iter[0] Batch [5500]	Speed: 825.23 samples/sec
INFO:root:Iter[0] Batch [5520]	Speed: 852.30 samples/sec
INFO:root:Iter[0] Batch [5540]	Speed: 846.90 samples/sec
INFO:root:Iter[0] Batch [5560]	Speed: 830.24 samples/sec
INFO:root:Iter[0] Batch [5580]	Speed: 860.66 samples/sec
INFO:root:Iter[0] Batch [5600]	Speed: 869.52 samples/sec
INFO:root:Iter[0] Batch [5620]	Speed: 852.53 samples/sec
INFO:root:Iter[0] Batch [5640]	Speed: 864.79 samples/sec
INFO:root:Iter[0] Batch [5660]	Speed: 865.06 samples/sec
